file_path,file_name,extension,size,last_write_time,matched_keyword,likely_asset_type
D:\ocn_backup_20260704_1606\candidate_588_content_hits.csv,candidate_588_content_hits.csv,.csv,1811455,2026-06-30T20:11:38.702356,candidate,candidate_pool
D:\ocn_backup_20260704_1606\candidate_588_content_hits.rg.txt,candidate_588_content_hits.rg.txt,.txt,3515710,2026-06-30T20:10:10.999666,candidate,candidate_pool
D:\ocn_backup_20260704_1606\candidate_588_csv_schema_audit.csv,candidate_588_csv_schema_audit.csv,.csv,28367,2026-06-30T20:13:11.565129,candidate,candidate_pool
D:\ocn_backup_20260704_1606\candidate_588_related_file_inventory.csv,candidate_588_related_file_inventory.csv,.csv,5931,2026-06-30T20:03:33.920324,candidate,candidate_pool
D:\ocn_backup_20260704_1606\candidate_588_related_file_inventory_full_D.csv,candidate_588_related_file_inventory_full_D.csv,.csv,6846,2026-06-30T20:04:08.180117,candidate,candidate_pool
D:\ocn_backup_20260704_1606\candidate_588_related_file_inventory_userdirs.csv,candidate_588_related_file_inventory_userdirs.csv,.csv,5520,2026-06-30T20:04:28.441677,candidate,candidate_pool
D:\ocn_backup_20260704_1606\candidate_588_search_report.md,candidate_588_search_report.md,.md,9231,2026-06-30T20:13:11.587322,candidate,candidate_pool
D:\ocn_backup_20260704_1606\cese\eval\thresholding.py,thresholding.py,.py,1722,2026-06-23T18:06:28.241796,threshold,threshold
D:\ocn_backup_20260704_1606\cese\models\shared_threshold_calibrator.py,shared_threshold_calibrator.py,.py,18173,2026-06-24T12:58:37.274694,threshold,threshold
D:\ocn_backup_20260704_1606\data\adversarial_splits\adversarial_splits_manifest.json,adversarial_splits_manifest.json,.json,2319,2026-06-27T09:25:04.234892,manifest,threshold
D:\ocn_backup_20260704_1606\data\adversarial_splits_simclaim_human_pilot\adversarial_splits_manifest.json,adversarial_splits_manifest.json,.json,2287,2026-06-28T14:32:47.125780,manifest,threshold
D:\ocn_backup_20260704_1606\data\evidence_modes\simclaim_human_pilot_evidence_modes_manifest.json,simclaim_human_pilot_evidence_modes_manifest.json,.json,871,2026-06-28T14:38:13.065877,manifest,threshold
D:\ocn_backup_20260704_1606\data\hard_diagnostic\raw_sources\annotation_candidates.csv,annotation_candidates.csv,.csv,51965,2026-06-29T21:54:26.263441,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\paper_full_audit\candidate_588_file_inventory.csv,candidate_588_file_inventory.csv,.csv,4008,2026-06-30T19:55:38.323001,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\paper_full_audit\candidate_588_sample_preview.csv,candidate_588_sample_preview.csv,.csv,15379,2026-06-30T19:55:38.332957,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\paper_full_audit\candidate_588_schema_audit.csv,candidate_588_schema_audit.csv,.csv,4481,2026-06-30T19:55:38.331850,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\paper_full_audit\paper_full_readiness_gate.json,paper_full_readiness_gate.json,.json,1637,2026-06-30T19:57:27.835024,readiness_gate,threshold
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\all92_claim_candidates_merged.csv,all92_claim_candidates_merged.csv,.csv,581553,2026-07-02T12:09:49.862300,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\paper_full_group_selection_v1\paper_full_core_candidates_group_complete_v1.csv,paper_full_core_candidates_group_complete_v1.csv,.csv,122194,2026-07-02T12:28:05.764853,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\paper_full_selection_v1\paper_full_core_candidates_v1.csv,paper_full_core_candidates_v1.csv,.csv,125931,2026-07-02T12:22:39.998525,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\reports\all92_candidate_pool_issues.csv,all92_candidate_pool_issues.csv,.csv,1103,2026-07-02T12:09:49.964900,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\reports\all92_candidate_pool_qc_report.md,all92_candidate_pool_qc_report.md,.md,2391,2026-07-02T12:09:49.966400,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\reports\all92_candidate_pool_qc_summary.json,all92_candidate_pool_qc_summary.json,.json,1727,2026-07-02T12:09:49.965898,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\reports\tfidf_leakage_audit_v1\paper_full_candidate_screen_v1.csv,paper_full_candidate_screen_v1.csv,.csv,84973,2026-07-02T12:17:03.897171,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_all92_candidate_pool_v1\strict_silver_max_v1\strict_silver_max_candidates_v1.csv,strict_silver_max_candidates_v1.csv,.csv,448144,2026-07-02T12:40:34.878117,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_detemplate_v1_150\candidates\simclaim_detemplate_candidates_150.csv,simclaim_detemplate_candidates_150.csv,.csv,624854,2026-07-01T03:51:47.305201,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round1_seed\manifests\round1_seed_manifest.json,round1_seed_manifest.json,.json,2804,2026-06-30T01:01:47.942209,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round1_seed\raw\manifest.json,manifest.json,.json,1216,2026-06-29T16:53:08,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\candidate_targets_round2.md,candidate_targets_round2.md,.md,8902,2026-06-30T12:17:08.876781,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\candidates\round2_batch01_candidates.csv,round2_batch01_candidates.csv,.csv,82903,2026-06-30T12:56:28.090348,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\gpt_review\gpt_reviewed_all_candidates.csv,gpt_reviewed_all_candidates.csv,.csv,97504,2026-06-30T14:34:44.345662,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\gpt_review\manifest.json,manifest.json,.json,1428,2026-06-30T14:34:44.352498,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\gpt_review\priority_recut_candidates.csv,priority_recut_candidates.csv,.csv,20672,2026-06-30T14:34:44.347899,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\manifests\round2_batch01_manifest.json,round2_batch01_manifest.json,.json,3140,2026-06-30T12:56:28.110203,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\raw_sources\ceur_ws_paper42_cyber_exercises.txt,ceur_ws_paper42_cyber_exercises.txt,.txt,4823,2026-06-30T12:47:12.139924,r4,prediction
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_annotation_ready_v1\manifests\round2_batch01_annotation_ready_v1_manifest.json,round2_batch01_annotation_ready_v1_manifest.json,.json,2727,2026-06-30T17:23:01.157739,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair\manifests\round2_batch01_repair_manifest.json,round2_batch01_repair_manifest.json,.json,2543,2026-06-30T14:36:59.129038,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair\recut_queue\round2_batch01_priority_recut_candidates.csv,round2_batch01_priority_recut_candidates.csv,.csv,20672,2026-06-30T14:34:44.347899,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair_recut\candidates\round2_batch01_recut_candidates.csv,round2_batch01_recut_candidates.csv,.csv,16907,2026-06-30T14:48:34.127214,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair_recut\gpt_review\manifest.json,manifest.json,.json,745,2026-06-30T17:20:29.446367,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair_recut\gpt_review\recut_gpt_reviewed_all_candidates.csv,recut_gpt_reviewed_all_candidates.csv,.csv,20416,2026-06-30T17:20:29.439771,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair_recut\manifests\round2_batch01_recut_manifest.json,round2_batch01_recut_manifest.json,.json,1927,2026-06-30T14:48:34.129223,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_hardpair_v4b_pilot\candidates\simclaim_hardpair_v4b_pilot_candidates.csv,simclaim_hardpair_v4b_pilot_candidates.csv,.csv,1198138,2026-07-01T21:40:42.307577,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_hardpair_v4_pilot\candidates\simclaim_hardpair_v4_pilot_candidates.csv,simclaim_hardpair_v4_pilot_candidates.csv,.csv,1270731,2026-07-01T14:23:59.187674,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_hardpair_v4_pilot_cue_ablation\candidates\simclaim_hardpair_v4_pilot_cue_ablation_candidates.csv,simclaim_hardpair_v4_pilot_cue_ablation_candidates.csv,.csv,699512,2026-07-01T14:49:24.914525,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_mvp_expansion_v1\candidates\simclaim_mvp_expansion_candidates_143.csv,simclaim_mvp_expansion_candidates_143.csv,.csv,377655,2026-06-30T23:53:10.636164,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_mvp_expansion_v1_150\candidates\simclaim_mvp_expansion_candidates_150.csv,simclaim_mvp_expansion_candidates_150.csv,.csv,500779,2026-07-01T00:12:24.118153,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_mvp_pilot\candidates\simclaim_mvp_pilot_candidates_50.csv,simclaim_mvp_pilot_candidates_50.csv,.csv,86187,2026-06-30T23:44:58.586984,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_release_candidate_v1\candidates\candidate_master_seed_64.csv,candidate_master_seed_64.csv,.csv,198819,2026-07-01T21:30:07.728673,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_release_candidate_v1_19_gate_pass\audit\paper_full_candidate_admission_gate.csv,paper_full_candidate_admission_gate.csv,.csv,4496,2026-07-01T23:18:49.378431,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_release_candidate_v1_19_gate_pass\audit\paper_full_candidate_admission_gate.json,paper_full_candidate_admission_gate.json,.json,2160,2026-07-01T23:18:49.386082,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_release_candidate_v1_19_gate_pass\candidates\candidate_master_checkpoint_76.csv,candidate_master_checkpoint_76.csv,.csv,229098,2026-07-01T21:46:48.544258,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_release_candidate_v1_19_gate_pass\candidates\candidate_master_leakage_filtered_64.csv,candidate_master_leakage_filtered_64.csv,.csv,195662,2026-07-01T23:18:49.380453,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_release_candidate_v1_19_gate_pass\reports\paper_full_candidate_admission_gate.md,paper_full_candidate_admission_gate.md,.md,1514,2026-07-01T23:18:49.386589,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_v4_evidence_necessity\v4_raw_candidate_pool.csv,v4_raw_candidate_pool.csv,.csv,1280761,2026-07-02T19:02:28.994047,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_v4_evidence_necessity\v4_strict_silver_candidates.csv,v4_strict_silver_candidates.csv,.csv,287812,2026-07-02T19:02:29.019342,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_v4_nonpaper_prototype\v4_mixed_source_prototype_candidates.csv,v4_mixed_source_prototype_candidates.csv,.csv,385746,2026-07-02T19:40:52.417960,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_v4_nonpaper_prototype\v4_nonpaper_prototype_candidates.csv,v4_nonpaper_prototype_candidates.csv,.csv,110267,2026-07-02T19:40:52.368378,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\v4_data_protocol_frozen.json,v4_data_protocol_frozen.json,.json,4703,2026-07-02T20:07:19.265070,frozen,threshold
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\v4_nonpaper_failed_prototype_manifest.csv,v4_nonpaper_failed_prototype_manifest.csv,.csv,1605,2026-07-02T20:07:19.263565,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\chatgpt_batches\batch_manifest.csv,batch_manifest.csv,.csv,2191,2026-07-02T20:07:19.452132,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\chatgpt_batches_clean\batch_manifest_clean.csv,batch_manifest_clean.csv,.csv,2446,2026-07-02T20:11:36.324084,manifest,threshold
D:\ocn_backup_20260704_1606\data\simclaim_v4_scaffold\generation_queue\v4_generation_queue_600_candidate_slots.csv,v4_generation_queue_600_candidate_slots.csv,.csv,880807,2026-07-01T13:54:57.447029,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\simclaim_v4_source_genre_pilot\v4_nonpaper_source_candidate_list.csv,v4_nonpaper_source_candidate_list.csv,.csv,7266,2026-07-02T19:11:53.499089,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\source_bank\source_bank_v2_raw_128_candidates.csv,source_bank_v2_raw_128_candidates.csv,.csv,15249,2026-07-02T00:11:50.926647,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\source_bank\source_bank_v2_unique_url_94_candidates.csv,source_bank_v2_unique_url_94_candidates.csv,.csv,11031,2026-07-02T00:11:50.927673,candidate,candidate_pool
D:\ocn_backup_20260704_1606\data\source_bank_v2\audit\download_manifest.csv,download_manifest.csv,.csv,8650,2026-07-02T00:29:16.760104,manifest,threshold
D:\ocn_backup_20260704_1606\data\source_bank_v2\audit\evidence_candidate_spans_secondary_quality_audit.csv,evidence_candidate_spans_secondary_quality_audit.csv,.csv,126146,2026-07-02T00:34:07.982886,candidate,candidate_pool
